,Statistic,Value,Name
0,gamesPlayed,42,Bichette
1,groundOuts,43,Bichette
2,airOuts,31,Bichette
3,runs,36,Bichette
4,doubles,12,Bichette
5,triples,0,Bichette
6,homeRuns,9,Bichette
7,strikeOuts,50,Bichette
8,baseOnBalls,11,Bichette
9,intentionalWalks,0,Bichette
10,hits,49,Bichette
11,hitByPitch,2,Bichette
12,avg,.285,Bichette
13,atBats,172,Bichette
14,obp,.333,Bichette
15,slg,.512,Bichette
16,ops,.845,Bichette
17,caughtStealing,0,Bichette
18,stolenBases,7,Bichette
19,stolenBasePercentage,1.000,Bichette
20,groundIntoDoublePlay,6,Bichette
21,numberOfPitches,718,Bichette
22,plateAppearances,186,Bichette
23,totalBases,88,Bichette
24,rbi,27,Bichette
25,leftOnBase,62,Bichette
26,sacBunts,0,Bichette
27,sacFlies,1,Bichette
28,babip,.351,Bichette
29,groundOutsToAirouts,1.39,Bichette
30,atBatsPerHomeRun,19.11,Bichette
31,runs_per_game,0.8571428571428571,Bichette
0,gamesPlayed,42,Guerrero Jr.
1,groundOuts,45,Guerrero Jr.
2,airOuts,30,Guerrero Jr.
3,runs,32,Guerrero Jr.
4,doubles,10,Guerrero Jr.
5,triples,0,Guerrero Jr.
6,homeRuns,11,Guerrero Jr.
7,strikeOuts,27,Guerrero Jr.
8,baseOnBalls,27,Guerrero Jr.
9,intentionalWalks,3,Guerrero Jr.
10,hits,50,Guerrero Jr.
11,hitByPitch,3,Guerrero Jr.
12,avg,.329,Guerrero Jr.
13,atBats,152,Guerrero Jr.
14,obp,.440,Guerrero Jr.
15,slg,.612,Guerrero Jr.
16,ops,1.051,Guerrero Jr.
17,caughtStealing,0,Guerrero Jr.
18,stolenBases,1,Guerrero Jr.
19,stolenBasePercentage,1.000,Guerrero Jr.
20,groundIntoDoublePlay,4,Guerrero Jr.
21,numberOfPitches,701,Guerrero Jr.
22,plateAppearances,182,Guerrero Jr.
23,totalBases,93,Guerrero Jr.
24,rbi,32,Guerrero Jr.
25,leftOnBase,51,Guerrero Jr.
26,sacBunts,0,Guerrero Jr.
27,sacFlies,0,Guerrero Jr.
28,babip,.342,Guerrero Jr.
29,groundOutsToAirouts,1.50,Guerrero Jr.
30,atBatsPerHomeRun,13.82,Guerrero Jr.
31,runs_per_game,0.7619047619047619,Guerrero Jr.
0,gamesPlayed,26,Hernandez
1,groundOuts,18,Hernandez
2,airOuts,29,Hernandez
3,runs,14,Hernandez
4,doubles,3,Hernandez
5,triples,0,Hernandez
6,homeRuns,5,Hernandez
7,strikeOuts,24,Hernandez
8,baseOnBalls,10,Hernandez
9,intentionalWalks,0,Hernandez
10,hits,31,Hernandez
11,hitByPitch,0,Hernandez
12,avg,.304,Hernandez
13,atBats,102,Hernandez
14,obp,.366,Hernandez
15,slg,.480,Hernandez
16,ops,.846,Hernandez
17,caughtStealing,1,Hernandez
18,stolenBases,2,Hernandez
19,stolenBasePercentage,.667,Hernandez
20,groundIntoDoublePlay,0,Hernandez
21,numberOfPitches,408,Hernandez
22,plateAppearances,112,Hernandez
23,totalBases,49,Hernandez
24,rbi,20,Hernandez
25,leftOnBase,40,Hernandez
26,sacBunts,0,Hernandez
27,sacFlies,0,Hernandez
28,babip,.356,Hernandez
29,groundOutsToAirouts,0.62,Hernandez
30,atBatsPerHomeRun,20.40,Hernandez
31,runs_per_game,0.5384615384615384,Hernandez
